"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24996110","華揚國際物流股份有限公司","臺中市梧棲區下寮里中橫十路100號","陳政文","60000000","1090620"
"2","29187784","薪傳智庫數位科技股份有限公司","高雄市前鎮區復興四路2號3樓之3","黃沛桐","2000000","1090603"
"3","29187790","洛汗國際股份有限公司","臺中市大里區東湖里中興路一段159之1號3樓","穆耀基","2500000","1090609"
"4","69764706","進康醫電股份有限公司","臺南市新市區南科三路19號5樓之2A01室","林道榕","100000","1090615"
"5","83420302","佰益順科技有限公司","臺中市神岡區豐洲里豐工路701號1樓","陸進益","500000","1090529"
"6","83420350","九四供應鏈國際有限公司","臺中市后里區泰安里福興路27號3樓","許加歡","40000","1090529"
"7","83523784","薩摩亞商威益創投有限公司","新北市五股區四維路133號5樓","鄭文怡","18000000","1090608"
"8","83582782","澄美建設有限公司","新竹市東區湖濱里明湖路399之10號1樓","徐紹鐙","3000000","1090529"
"9","83582798","傲身實業有限公司","彰化縣田尾鄉北鎮村平和路二段309巷8號","胡志遠","500000","1090529"
"10","83582805","上成不動產有限公司","屏東縣恆春鎮網紗里省北路18號","曾永定","500000","1090529"
"11","83582827","蛋哥超有事有限公司","金門縣金寧鄉榜林村16鄰后湖63之2號","許庭豪","500000","1090529"
"12","83582832","東進志遠肉品有限公司","臺東縣臺東市中華路三段137巷11號","楊碧水","1800000","1090529"
"13","83582848","偉儫工程有限公司","嘉義縣東石鄉圍潭村14鄰双連潭61號一樓","章竣偉","100000","1090529"
"14","83582853","祐佶投資有限公司","新竹市東區福德里中華路二段708巷23號1樓","吳振芳","3000000","1090529"
"15","83582869","蘿苡有限公司","新竹市東區關新里關新路201號","曾雅琳","5000000","1090529"
"16","83582875","嘉王有限公司","嘉義縣鹿草鄉後堀村20鄰25-1號1樓","周彙敏","300000","1090529"
"17","83582880","筌祐股份有限公司","嘉義縣朴子市竹村里鴨母寮457巷11號1樓","黃書祺","1000000","1090601"
"18","83582896","伊緹有限公司","嘉義縣水上鄉下寮村12鄰下寮155號","高子期","600000","1090601"
"19","83582903","恆祈科技股份有限公司","新竹縣竹北市興安里光明一路78號1樓","胡清旺","1000000","1090601"
"20","83582919","至樂國際有限公司","新竹市東區湖濱里明湖路446-1號","李彥忠","1000000","1090601"
"21","83582925","喜雅樂建設股份有限公司","彰化縣員林市三信里建國路388巷18號1樓","蔡易呈","150000","1090601"
"22","83582930","赫瀅國際設計有限公司","雲林縣斗六市公誠里鎮北路145號3樓","張依瀅","200000","1090601"
"23","83582946","詮盛能源科技股份有限公司","彰化縣埤頭鄉崙腳村興工路62號","王鈐鍵","5000000","1090601"
"24","83582967","創時代科技股份有限公司","新竹市東區光明里大學路60號地下二樓","吳啓彰","520000","1090601"
"25","83582973","展熒機械工程有限公司","雲林縣麥寮鄉施厝村仁德東路563號","蔡智有","500000","1090601"
"26","83582988","禾彙有限公司","彰化縣溪湖鎮員鹿路二段459巷25號","李淑儀","50000","1090601"
"27","83582994","昕樂營造有限公司","宜蘭縣羅東鎮信義里復興路1段158號1樓","陳令愷","3600000","1090601"
"28","83583001","長虹開發股份有限公司","彰化縣彰化市福山里福山街78巷4號一樓","陳昱仁","2000000","1090601"
"29","83583017","瑞盛海運股份有限公司","金門縣金沙鎮后水頭56號","張瑞育","10000000","1090601"
"30","83583023","名展實業股份有限公司","彰化縣和美鎮竹營里忠誠路68號","吳宗樺","1500000","1090601"
"31","83583038","老八庵有限公司","新竹縣竹北市文興路273號","吳國平","3000000","1090601"
"32","83583044","居森有限公司","苗栗縣通霄鎮南和里12鄰南和165之2號","吳明哲","1000000","1090601"
"33","83583059","睿生企業有限公司","嘉義市西區慶安里五顯街93巷30號1樓","張睿生","500000","1090601"
"34","83583065","明朋消防有限公司","新竹市東區埔頂里埔頂路99巷129號","鈕永峰","100000","1090601"
"35","83583071","平順工程有限公司","新竹市東區明湖里花園新城街3巷3號1樓","簡佩玲","100000","1090601"
"36","83583086","美年宏建設開發有限公司","新竹縣新豐鄉上坑村2鄰坑子口224號","簡銘宏","1000000","1090601"
"37","83583092","定岳國際人力仲介股份有限公司","彰化縣彰化市中山路一段373號4樓","曾彥博","5000000","1090601"
"38","83583109","銘虹生物科技有限公司","新竹縣湖口鄉鳳凰村中華路122之12號3樓","郭洲朝","1000000","1090601"
"39","83583115","方舟能生物科技有限公司","基隆市中山區通化里12鄰通仁街20巷17號","李宜臻","50000","1090601"
"40","83583121","洛陽空間設計有限公司","新竹市北區金雅里金雅西街118號四樓之1","鄭建溢","1000000","1090601"
"41","83583136","明日萌建設開發有限公司","嘉義縣太保市舊埤里新埤129-30號","許柏椅","15000000","1090601"
"42","83583142","旭泰聯合有限公司","新竹市東區關新里關新東路323號2樓","翁有傳","250000","1090601"
"43","83583157","柏冠資產管理顧問股份有限公司","嘉義縣太保市春珠里春珠148號1樓","陳柏諺","8000000","1090601"
"44","83583163","聚心不動產經紀有限公司","新竹縣竹北市東興里十興三街115號","羅銜聘","1000000","1090601"
"45","83583179","安騰醫管股份有限公司","苗栗縣苑裡鎮世界路一段91-6號1樓","李東甲","8000020","1090601"
"46","83583184","弘秝有限公司","屏東縣屏東市大武里武林街26巷3號7樓之3","吳承鮪","200000","1090601"
