"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00670681","連寶煤氣有限公司","桃園市龜山區中興路366之3號","","10000000","0640711","1090618"
"2","01175766","優韻實業有限公司","臺北市中山區中山北路3段34號2樓","","10000000","0740801","1090608"
"3","02095827","朋達企業股份有限公司","新北市板橋區民生路3段30號4樓之1","","25000000","0730627","1090603"
"4","04217678","和森有限公司","臺北市大安區建國南路2段306號3樓","","6000000","0571204","1090617"
"5","04564698","台北電爐廠有限公司","新北市三重區永福街10巷1號1樓","","500000","0640422","1090605"
"6","04611502","奧立岡企業有限公司","新北市永和區安樂路100巷13弄1號4樓","","1000000","0631011","1090623"
"7","04637221","比世通商企業有限公司","桃園市龍潭區八德里梅龍一街三五巷二八號一樓","","5000000","0650317","1090617"
"8","04713466","五鼎貿易股份有限公司","臺北市松山區北寧路62號","","5000000","0680430","1090619"
"9","04743308","臺灣祿茂有限公司","臺北市大同區哈密街59巷56號1樓","","5000000","0650112","1090624"
"10","04804629","動力油壓機械有限公司","臺北市南港區南港路1段137巷10弄6號2樓","","2000000","0690411","1090624"
"11","04839508","一品黑板有限公司","新北市三重區永清里三和路四段３９０巷１１號１樓","","3000000","0720714","1090622"
"12","05077652","全晏電器有限公司","臺北市萬華區洛陽街9號1樓之6","","6000000","0690909","1090611"
"13","05124310","連浩實業有限公司","桃園市平鎮區湧光里工業南路四三號","","5000000","0720121","1090618"
"14","05190401","東洲工程股份有限公司","臺北市中山區南京西路1之1號7樓","","25000000","0720222","1090602"
"15","07177517","宏康貿易股份有限公司","臺北市大同區南京西路344巷19號","","15000000","0580812","1090602"
"16","07644533","力昇廣告工程有限公司","臺北市大同區承德路3段175號1樓","","10000000","0681029","1090623"
"17","09446030","高帽子股份有限公司","臺北市大安區忠孝東路4段148號7樓","","60000000","0730619","1090609"
"18","09481599","惠普藥品有限公司","臺北市松山區民權東路5段12號3樓","","8000000","0740628","1090622"
"19","12222739","晉華文具印刷有限公司","臺北市中山區中山北路2段128巷17號之1、1樓","","2500000","0680406","1090616"
"20","12260016","浩揚實業有限公司","臺北市士林區延平北路6段116巷15弄3號","","1000000","0690108","1090610"
"21","12324790","造益實業股份有限公司","臺北市大同區延平北路3段76號2樓","","4500000","0700420","1090612"
"22","12464222","國翼高壓軟管工業有限公司","臺北市中山區新生北路3段68巷8號1樓","","10000000","0721011","1090601"
